testPart$PIDN,Ca,P,pH,SOC,Sand
kFpRoFpt,-0.639090538024902,-0.149609908461571,-0.398606866598129,0.894877076148987,-0.592584431171417
9Enuihhr,-0.465292096138,-0.380489200353622,-0.233169943094254,0.320587068796158,-0.538083434104919
qSzshmRv,-0.351898342370987,0.557676315307617,-0.797176718711853,-0.256319493055344,0.155754715204239
veBxyJpe,-0.426343560218811,0.711231172084808,-0.872031331062317,-0.248088225722313,0.0949918776750565
vDEQXTeo,-0.677630603313446,0.0653129667043686,-0.457575410604477,0.412725001573563,-0.169410958886147
y4qlLXjU,-0.49763023853302,-0.371208846569061,0.0250511858612299,0.29803279042244,-0.3968505859375
ENdsdgIP,-0.25981667637825,0.0585138201713562,-0.274582535028458,-0.319121420383453,0.942391633987427
p1SCgsM8,-1.22844088077545,-0.301341563463211,-0.0811561271548271,1.65786790847778,-1.32173275947571
HhLQiNKo,-1.11198389530182,-0.339594811201096,-0.0535242967307568,1.75934493541718,-1.39272308349609
cPo3EE0z,-1.71795785427094,-0.27243047952652,0.550441920757294,0.954778015613556,-1.01635158061981
oE34qZ1N,-1.0510470867157,-0.276853114366531,-0.35926541686058,2.16440534591675,-1.40369951725006
niEFs9EW,-0.811079561710358,-0.0273575279861689,0.208903431892395,3.00995111465454,-1.32149434089661
6mcoODWx,-1.22234928607941,-0.389679938554764,0.28599339723587,2.01532244682312,-1.36386322975159
kf8xv3u1,-0.610178172588348,-0.0467796921730042,0.0302051622420549,2.74675631523132,-1.55317080020905
HHPYNfyu,-0.781575441360474,-0.234881922602654,0.300355613231659,0.797821879386902,-0.927652478218079
YYNdJzV3,-1.10128915309906,-0.419568598270416,0.346913009881973,0.549303948879242,-0.942487955093384
XaNOwwXo,-0.284734934568405,-0.515540480613708,0.107510074973106,-0.44764170050621,0.0259055700153112
kW9QGfqt,-0.326496869325638,-0.237395092844963,-0.183258816599846,-0.252979308366776,-0.201868832111359
iXZWfFoE,-0.458338737487793,-0.204979419708252,-0.0820346027612686,-0.44837474822998,-0.199054002761841
uzE4DUR4,0.457949876785278,-0.39747154712677,1.45745766162872,-0.6535604596138,-0.568289816379547
3xFJOZN1,-0.400229513645172,-0.222871094942093,-0.000828049203846604,-0.247488752007484,-0.161377117037773
5hhEGbrX,-0.404909431934357,-0.518336057662964,0.651034951210022,-0.135183870792389,-0.54168039560318
P0rUSvAu,-0.263284355401993,-0.0359549783170223,0.283947944641113,-0.196512773633003,0.180630013346672
LLRnP6KX,-0.428591340780258,-0.191749706864357,-0.281455844640732,0.23402164876461,-0.335962414741516
Vfa8nAB6,-0.541496515274048,-0.472134619951248,-0.858484148979187,-0.0231946837157011,-0.466306984424591
03zzaMZR,-0.622644901275635,-0.346266686916351,-1.00137984752655,0.695742726325989,-0.755908131599426
YYAZfHXw,-0.458881199359894,-0.303597867488861,-0.735394060611725,0.608661234378815,-0.723889529705048
82zEhT3x,-0.132003307342529,-0.169038951396942,0.063688300549984,0.570503771305084,-0.0864305943250656
CWpZnkfL,-0.730932056903839,-0.504325330257416,-0.840350151062012,0.707804441452026,-0.845820307731628
e0E56iIB,-0.221204444766045,0.355984658002853,-0.713214576244354,0.723024964332581,-0.952427983283997
1o7wVf31,-0.614051103591919,-0.0783280655741692,-0.153453543782234,0.391958683729172,-0.337512642145157
6iGjsTvq,-0.65755420923233,-0.46733945608139,-0.142612770199776,0.313234329223633,-0.584002554416656
YyCZ80jT,-0.35317450761795,0.798520982265472,-0.61564165353775,1.20042109489441,-0.980700552463531
zHpDgcLD,-1.01331782341003,-0.0113584185019135,-1.01001501083374,0.582456290721893,-0.403436005115509
wPTlBpD6,-0.831821262836456,-0.751355767250061,-1.40402805805206,0.352368116378784,-0.573441803455353
e8KqA5fA,-0.768788993358612,-0.258939146995544,-0.172814309597015,0.513409614562988,-0.602150678634644
wHdNtEhe,-0.986044704914093,-0.0702434852719307,-0.552286028862,0.587854385375977,-0.666173160076141
ijonrHNN,-0.27586817741394,-0.516309201717377,0.592597007751465,0.601703584194183,-0.887505292892456
gWJ0DJlB,-0.00774817587807775,-0.445948600769043,0.795498073101044,1.0800609588623,-0.942966997623444
VtyWGyXW,-0.942206144332886,-0.0260343700647354,-0.10032457113266,0.995419859886169,-0.758666634559631
QsfH8CWp,-0.662016570568085,0.829078197479248,-0.740151524543762,-0.621903657913208,0.195476993918419
92RkYor6,-0.325620204210281,0.386959791183472,-0.268584907054901,-0.763496458530426,0.663614690303802
5W1RWnld,-0.26491504907608,0.320004016160965,0.0250459648668766,-0.148281678557396,1.47243320941925
hv5ihken,-0.488596946001053,0.191308468580246,-0.486076384782791,1.51444506645203,-0.498866319656372
yjTDUsEl,-0.564633011817932,0.227430254220963,-0.393373101949692,-0.35844624042511,0.433560699224472
Phq9UWA5,-0.336506724357605,0.674519181251526,-0.748191118240356,-0.681340515613556,0.477646380662918
h56UKmSI,-0.761729419231415,1.44133985042572,-0.749361515045166,2.00201392173767,-0.705672800540924
53tW1ooL,-0.249182909727097,0.747375071048737,-0.73477029800415,-0.64947783946991,0.472864180803299
UDrFNHWM,-0.601137757301331,-0.0454835928976536,0.0229459796100855,-0.571828782558441,0.615269362926483
N6gxq5c0,-0.44349279999733,0.0652101263403893,-0.2221949249506,-0.423474133014679,0.807547867298126
LmxOQ7yc,-0.619059085845947,0.530024170875549,-0.526284277439117,-0.692729413509369,0.210066810250282
RDv3Jdol,-0.457115054130554,-0.242362007498741,-0.579262614250183,-0.652463853359222,0.177253291010857
npMk7V2O,-0.197537019848824,0.915637791156769,-0.88053822517395,-0.42473304271698,0.393321543931961
YBJBA9L2,-0.441890805959702,0.314559936523438,-0.388792991638184,-0.373893797397614,0.345731288194656
w8zxlgxa,-0.601417541503906,0.28780809044838,1.2974488735199,2.36659717559814,-1.73456835746765
lEvoLiHk,0.23527866601944,-0.101550981402397,0.304597139358521,0.282337069511414,-0.731315791606903
pvf62YoX,-0.14759786427021,0.483243197202682,0.97315239906311,1.28595459461212,-1.34391641616821
uKrpmvqa,-0.375706911087036,0.0369275249540806,0.674088060855865,1.45496237277985,-1.38303673267365
WLj9ZPdV,0.286665409803391,-0.386574625968933,0.0110888127237558,0.623654007911682,-0.604129433631897
txDlRrOQ,-0.244326591491699,0.20293191075325,0.747737467288971,3.03554320335388,-1.43642246723175
fo9S5I2n,0.189373925328255,-0.520535051822662,0.0490548014640808,0.286053150892258,-0.71706360578537
RWAHOfgs,0.103307880461216,-0.454023241996765,0.0158880408853292,0.047689501196146,-0.631605863571167
qvmz8YRL,2.58658385276794,-0.0761104822158813,2.46431374549866,2.09822702407837,-1.08399271965027
jK5twtl0,7.63521814346313,-0.483409553766251,1.33349525928497,4.4794454574585,-0.394831269979477
N9f0YKTE,2.3120801448822,1.33788692951202,2.03300833702087,2.43430233001709,-0.815531432628632
XIA9VcSo,4.25501680374146,1.38035130500793,2.34628486633301,3.50183796882629,-0.185518264770508
2uSlQCBR,1.30423378944397,0.226832255721092,1.59039711952209,2.33209800720215,-1.41498422622681
dtU50LjT,1.8079309463501,0.307911068201065,1.81517863273621,2.47476315498352,-1.39737617969513
O1JwnWSa,1.22367775440216,-0.263861507177353,1.37544929981232,1.69866538047791,-1.4980206489563
KNTRKpRF,2.72209095954895,-0.194015234708786,2.3353328704834,1.81636476516724,-1.05945467948914
TQSXINLd,1.68241155147552,-0.362892299890518,2.11358046531677,1.64510548114777,-1.3570659160614
UCt5dPD4,1.94953429698944,-0.295304089784622,2.13531398773193,1.95157742500305,-1.4712632894516
3uTlvbVh,-0.252209544181824,1.37141752243042,-0.330967277288437,-0.50707083940506,-0.397286295890808
GMWhPhNp,0.115297868847847,1.09047377109528,-1.393594622612,-0.761279821395874,0.267140716314316
fdaLbXVd,-0.259412944316864,0.247126564383507,-0.422432273626328,-0.383207082748413,-0.0873287171125412
shluhWwk,-0.287259727716446,0.171301379799843,-0.448005139827728,-0.497618943452835,0.318615645170212
ogRSOtqS,-0.659438669681549,-0.295274168252945,-0.674335122108459,-0.128579154610634,-0.595250904560089
82B2FqTl,-0.972160220146179,-0.275087922811508,-0.385788172483444,-0.366416811943054,0.259780645370483
ApyEA3lg,-0.134058505296707,-0.135208323597908,-0.38119050860405,-0.617102265357971,0.888470411300659
Be8oUYtE,-0.519006192684174,-0.195107638835907,-1.14238309860229,-0.127953797578812,-0.466748476028442
hsFpgSvW,-0.380489766597748,-0.513909697532654,-1.13862538337708,0.249349772930145,-0.575087130069733
5pBWTrZ8,-0.55367648601532,-0.553324580192566,-1.35793673992157,-0.551958024501801,-0.605830490589142
hMDJ62Yk,-1.1211484670639,-0.234937027096748,-0.483072429895401,1.31890821456909,-1.13047564029694
kN4UOUWi,-1.05505669116974,-0.259539872407913,-0.489637166261673,1.34152901172638,-1.11873686313629
1crlK9ts,-0.306012600660324,-0.552531003952026,2.22018384933472,0.475817054510117,-1.78766107559204
jUQUmOXy,-0.62308806180954,-0.24470442533493,2.11307883262634,0.968173980712891,-1.90276694297791
Npww2s8N,0.381275057792664,0.788168609142303,1.62203443050385,0.75997132062912,-1.54258227348328
r5sBMOcp,0.4578657746315,1.04519045352936,1.49373471736908,-0.0753244385123253,-1.02511084079742
JuygBpj0,1.92657268047333,-0.127492919564247,1.35924315452576,0.530239224433899,-0.693771421909332
8f7WW88M,0.496643126010895,-0.00978833623230457,0.96170836687088,0.0737985223531723,-0.306233584880829
B01DOOnI,0.830736577510834,-0.183643355965614,0.959910750389099,1.31956028938293,-1.00895512104034
YfUkOjSs,0.945870757102966,-0.523364543914795,0.926816284656525,0.938129782676697,-0.97296941280365
PNwP57hF,0.089333713054657,-0.106609232723713,1.06944286823273,0.47784760594368,-0.693275928497314
2c1wmyMT,1.60917294025421,-0.0302205234766006,1.94321238994598,1.24556589126587,-0.790580451488495
AzPA4PHF,0.03776466101408,-0.283865094184875,0.804003119468689,0.842990517616272,-0.846911489963531
VjUPQRic,0.00554020889103413,-0.233468905091286,0.978823602199554,0.540423274040222,-0.749298393726349
mlsGAOSN,-0.0587345920503139,2.01954221725464,0.654233038425446,2.02622294425964,-0.238036960363388
9WMu1KVI,-0.263473123311996,-0.0620238445699215,0.214594155550003,1.70364964008331,-1.09452068805695
xpCgYYUW,-0.0581514649093151,-0.434063494205475,0.12368831038475,1.09381604194641,-0.905705094337463
HJ9cS0sQ,-0.405691295862198,-0.401838481426239,0.243037387728691,0.297798097133636,-0.70414274930954
6w4WIkJF,-0.725282430648804,0.0973715707659721,-0.382827877998352,3.18297719955444,-1.18497550487518
kJtPgwyL,-0.487904220819473,0.247010365128517,-0.74488753080368,1.45877063274384,-1.22531056404114
TTI7QZaS,-0.227291256189346,-0.112207740545273,-0.771667242050171,2.53502416610718,-0.651735484600067
J1B4Idtr,-0.69573986530304,0.1981241106987,-0.368449777364731,3.40670919418335,-1.37599456310272
oLvBVSxD,-0.769798159599304,0.034525603055954,-0.657893598079681,3.15574765205383,-1.6429158449173
eQYrfyWA,-0.289750248193741,-0.186597853899002,0.445393621921539,1.3175173997879,-0.984896838665009
QosCRpLE,0.0556258670985699,-0.404768347740173,1.26191008090973,0.76550704240799,-1.40076839923859
qncMxnbI,0.00321328826248646,-0.336678802967072,0.804621875286102,1.62892878055573,-1.53722333908081
Hb0OgrZX,-0.18997186422348,-0.0716775134205818,-0.0398551635444164,1.01784420013428,-1.25615906715393
jK9pAMhc,-0.141972154378891,0.102635718882084,0.0301902014762163,0.854958415031433,-0.639568507671356
JXSyc2KV,-1.10560977458954,0.152087971568108,-0.509564578533173,-0.906329691410065,0.471698641777039
ShP8vg5j,7.3539023399353,0.0295315869152546,2.33860278129578,3.56005477905273,0.393226027488708
mAj8rn9Q,4.82582092285156,0.169429928064346,2.51110005378723,0.122182220220566,0.305780053138733
z1viX5xU,-0.396057903766632,-0.0615566708147526,1.31697940826416,-0.738576114177704,0.208789423108101
codSJtJ8,-0.138797149062157,-0.0207265019416809,1.49569046497345,-0.914433360099792,0.166248172521591
jd7gBtZy,0.927897214889526,0.416533380746841,1.90021288394928,-0.929746806621552,0.498840361833572
fXiQJuXv,0.126945719122887,-0.176513358950615,1.43100428581238,-0.720680177211761,-0.216935932636261
Ad7kv7Sw,-0.745565176010132,-0.304673254489899,-0.35045525431633,-0.62060022354126,0.898928821086884
wxzH6oNu,-0.413230150938034,0.26836970448494,-0.38312840461731,-0.676088035106659,0.944242060184479
ZzB106lo,-0.74934583902359,0.269666522741318,-0.396825850009918,-0.802332639694214,0.656878888607025
dhtXvt6H,-0.936197638511658,-0.319712460041046,-0.915385186672211,-0.75091427564621,1.21125447750092
LZycEKwX,-0.275440514087677,-0.397619992494583,-0.468869507312775,-0.438911586999893,0.780561983585358
e8UsmP5n,-0.184426009654999,-0.404149234294891,-0.961446702480316,-0.602557599544525,1.26802933216095
z2l2mxLf,-0.0122964000329375,1.25549411773682,-1.44236874580383,-0.903826475143433,-0.000661856553051621
jVb5unQ8,0.214484632015228,0.608155310153961,-0.893683075904846,0.11786175519228,0.152310609817505
pIgstTbz,0.272763252258301,1.81574654579163,-1.85288894176483,-1.193528175354,0.402625352144241
XPsTDi0s,-0.149227097630501,0.906305432319641,-1.1667548418045,-0.550014555454254,0.179614782333374
wbveLZzx,-0.520404696464539,1.08453989028931,-1.55113482475281,-0.990436732769012,0.0706832110881805
7qkjFK0c,-0.318111538887024,1.60304796695709,-1.80438780784607,-0.889783024787903,0.105814889073372
rvTNlDW7,0.107750706374645,1.48656892776489,-1.56443786621094,-0.854444921016693,0.269361346960068
uY7uoUF1,-0.0770653411746025,1.25835001468658,-1.41770970821381,-0.898139238357544,0.0852585583925247
gLLiWIoa,-0.334022015333176,0.991032660007477,-1.47972393035889,-0.739683866500854,0.25236240029335
RAJxj2B4,-0.450291842222214,1.65240609645844,-1.42796552181244,-0.853854537010193,0.302580088376999
SPxItBak,0.236508265137672,1.21344876289368,-0.297485053539276,1.13785934448242,-0.825376808643341
rRiQykzl,-0.509477078914642,-0.262555956840515,-0.650270283222198,-0.563965678215027,0.960542976856232
F7LWNdl0,-0.0759072825312614,1.04420518875122,-0.853042304515839,-0.831700921058655,0.5701504945755
N41zBfur,-0.138389006257057,-0.0383454114198685,-0.195127084851265,-0.509546220302582,0.272504568099976
uqPeQhOX,-0.246154993772507,0.0356912575662136,-0.196420446038246,-0.34879794716835,0.184322893619537
v24sxQUm,-0.513555645942688,-0.128699377179146,-0.613043427467346,0.501233160495758,-0.668097138404846
6iFIpYJJ,-0.478163361549377,-0.186212345957756,-0.773564755916595,0.267075717449188,-0.742937982082367
y2mLAQC7,-0.36377626657486,-0.192353323101997,-1.17128813266754,0.0800835341215134,-0.530275285243988
1G3djb9b,-0.574166119098663,-0.0100362496450543,-0.367181837558746,1.16364359855652,-0.653732180595398
v1KghzK7,-0.599712610244751,-0.108461819589138,-0.0993052870035172,0.828339993953705,-0.360386967658997
eKtRWN7g,-0.48065984249115,-0.0463443584740162,-0.460261821746826,0.607884585857391,-0.843142569065094
